0,200,39800,0
1,684,39233,83
2,1661,38003,336
3,2945,36115,940
4,4501,33565,1934
5,5892,30642,3466
6,7211,27425,5364
7,8126,24289,7585
8,8736,21459,9805
9,9167,18787,12046
10,9321,16349,14330
11,8884,14564,16552
12,8543,13109,18348
13,7921,12334,19745
14,7372,11824,20804
15,6722,11691,21587
16,6297,11662,22041
17,5788,11952,22260
18,5532,12291,22177
19,5346,12671,21983
20,5226,12981,21793
21,5303,13042,21655
22,5258,13258,21484
23,5258,13428,21314
24,5258,13435,21307
25,5245,13557,21198
26,5281,13717,21002
27,5485,13740,20775
28,5694,13549,20757
29,5798,13436,20766
30,5888,13309,20803
31,5988,13048,20964
32,6126,12834,21040
33,5977,12795,21228
34,6148,12422,21430
35,6063,12289,21648
36,5984,12235,21781
37,5740,12410,21850
38,5741,12484,21775
39,5640,12616,21744
40,5683,12629,21688
41,5717,12674,21609
42,5848,12571,21581
43,5813,12544,21643
44,5811,12508,21681
45,5789,12511,21700
46,5872,12398,21730
47,5706,12522,21772
48,5648,12656,21696
49,5755,12568,21677
50,5761,12580,21659
51,5816,12567,21617
52,5750,12639,21611
53,5780,12545,21675
54,5731,12657,21612
55,5738,12602,21660
56,5702,12717,21581
57,5799,12679,21522
58,5828,12525,21647
59,5756,12650,21594
60,5687,12724,21589
61,5690,12660,21650
62,5656,12743,21601
63,5600,12842,21558
64,5691,12853,21456
65,5622,12950,21428
66,5630,12978,21392
67,5795,12785,21420
68,5727,12900,21373
69,5828,12727,21445
70,5786,12757,21457
71,5705,12692,21603
72,5663,12653,21684
73,5677,12631,21692
74,5668,12688,21644
75,5673,12834,21493
76,5643,12844,21513
77,5721,12801,21478
78,5676,12734,21590
79,5577,12853,21570
80,5607,12884,21509
81,5522,13000,21478
82,5620,12947,21433
83,5640,12865,21495
84,5517,12913,21570
85,5633,12930,21437
86,5692,13004,21304
87,5816,12757,21427
88,5686,12900,21414
89,5731,12831,21438
90,5619,12862,21519
91,5701,12879,21420
92,5760,12695,21545
93,5802,12693,21505
94,5745,12721,21534
95,5783,12606,21611
96,5711,12696,21593
97,5639,12753,21608
98,5663,12725,21612
99,5597,12788,21615
100,5699,12713,21588
